Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,spend,efficiency
Florida Panthers,82,58,18,6,122,0.744,340,246,1.07,-0.08,.713,42,42-18-22,.646,82930085.0,111.46516801075269
Colorado Avalanche,82,56,19,7,119,0.726,312,234,0.91,-0.04,.671,46,46-19-17,.665,81739413.0,112.58872314049587
Carolina Hurricanes,82,54,20,8,116,0.707,278,202,0.88,-0.05,.665,47,47-20-15,.665,83866550.0,118.62312588401699
Toronto Maple Leafs,82,54,21,7,115,0.701,315,253,0.69,-0.06,.646,45,45-21-16,.646,83761840.0,119.48907275320971
Minnesota Wild,82,53,22,7,113,0.689,310,253,0.68,-0.02,.640,37,37-22-23,.591,79996390.0,116.10506531204646
Calgary Flames,82,50,21,11,111,0.677,293,208,0.99,-0.05,.610,44,44-21-17,.640,81707950.0,120.69121122599704
New York Rangers,82,52,24,6,110,0.671,254,207,0.54,-0.03,.628,44,44-24-14,.622,75108450.0,111.93509687034278
Tampa Bay Lightning,82,51,23,8,110,0.671,287,233,0.64,-0.02,.640,39,39-23-20,.598,89214115.0,132.9569523099851
St. Louis Blues,82,49,22,11,109,0.665,311,242,0.79,-0.05,.604,43,43-22-17,.628,82634124.0,124.26184060150375
Boston Bruins,82,51,26,5,107,0.652,255,220,0.38,-0.05,.622,40,40-26-16,.585,80829990.0,123.97237730061349
Edmonton Oilers,82,49,27,6,104,0.634,290,252,0.46,0.00,.573,38,38-27-17,.567,87651885.0,138.25218454258675
Pittsburgh Penguins,82,46,25,11,103,0.628,272,229,0.49,-0.04,.585,37,37-25-20,.573,83539221.0,133.02423726114648
Washington Capitals,82,44,26,12,100,0.61,275,245,0.35,-0.02,.524,35,35-26-21,.555,84839289.0,139.08080163934426
Los Angeles Kings,82,44,27,11,99,0.604,239,236,0.03,-0.01,.537,35,35-27-20,.549,81892840.0,135.58417218543048
Dallas Stars,82,46,30,6,98,0.598,238,246,-0.09,0.01,.543,31,31-30-21,.506,85821185.0,143.5136872909699
Nashville Predators,82,45,30,7,97,0.591,266,252,0.19,0.02,.537,35,35-30-17,.530,71216151.0,120.50110152284265
Vegas Golden Knights,82,43,31,8,94,0.573,266,248,0.21,-0.01,.524,34,34-31-17,.518,92076943.0,160.69274520069808
Vancouver Canucks,82,40,30,12,92,0.561,249,236,0.16,0.00,.500,32,32-30-20,.512,86482727.0,154.15815864527627
Winnipeg Jets,82,39,32,11,89,0.543,252,257,-0.04,0.02,.488,32,32-32-18,.500,86848400.0,159.9418047882136
New York Islanders,82,37,35,10,84,0.512,231,237,-0.09,-0.02,.476,34,34-35-13,.494,79458296.0,155.191984375
Columbus Blue Jackets,82,37,38,7,81,0.494,262,300,-0.44,0.02,.445,26,26-38-18,.427,70736371.0,143.19103441295547
San Jose Sharks,82,32,37,13,77,0.47,214,264,-0.58,0.03,.390,22,22-37-23,.409,76526564.0,162.8224765957447
Anaheim Ducks,82,31,37,14,76,0.463,232,271,-0.45,0.03,.384,22,22-37-23,.409,70009809.0,151.20909071274298
Buffalo Sabres,82,32,39,11,75,0.457,232,290,-0.69,0.02,.390,25,25-39-18,.415,67574592.0,147.8656280087527
Detroit Red Wings,82,32,40,10,74,0.451,230,312,-0.95,0.06,.384,21,21-40-21,.384,70262310.0,155.79226164079822
Ottawa Senators,82,33,42,7,73,0.445,227,266,-0.44,0.03,.396,26,26-42-14,.402,70881426.0,159.28410337078654
Chicago Blackhawks,82,28,42,12,68,0.415,219,291,-0.83,0.05,.317,16,16-42-24,.341,84944191.0,204.68479759036146
New Jersey Devils,82,27,46,9,63,0.384,248,307,-0.68,0.04,.341,19,19-46-17,.335,74146012.0,193.08857291666666
Philadelphia Flyers,82,25,46,11,61,0.372,211,298,-1.00,0.06,.323,20,20-46-16,.341,84138714.0,226.1793387096774
Seattle Kraken,82,27,49,6,60,0.366,216,285,-0.80,0.04,.317,23,23-49-10,.341,73696043.0,201.35530874316942
Arizona Coyotes,82,25,50,7,57,0.348,207,313,-1.23,0.06,.323,18,18-50-14,.305,76329909.0,219.33881896551725
Montreal Canadiens,82,22,49,11,55,0.335,221,319,-1.15,0.05,.262,16,16-49-17,.299,92493917.0,276.10124477611936
